Experiment:	LipSpeechMVPA
date:	12-Aug-2022 15:48:43
Subject:	
onset	duration	trial_number	stim_name	block	modality	repetition	actor	consonant	vowel	target	keypress_number	responsekey	keypress_time
536.304	3.335	1	S3fa	1	vis	2	S3	f	a	0	0		0.000
542.756	3.332	2	S3la	1	vis	2	S3	l	a	0	0		0.000
549.194	3.326	3	S3pa	1	vis	2	S3	p	a	0	0		0.000
555.611	3.328	4	S3le	1	vis	2	S3	l	e	0	0		0.000
562.074	3.329	5	S2fa	1	vis	2	S2	f	a	0	0		0.000
568.509	3.278	6	S2li	1	vis	2	S2	l	i	0	0		0.000
574.891	3.316	7	S1li	1	vis	2	S1	l	i	1	0		0.000
581.323	3.317	8	S2pe	1	vis	2	S2	p	e	0	0		0.000
587.756	3.315	9	S2pa	1	vis	2	S2	p	a	0	0		0.000
594.174	3.330	10	S1pi	1	vis	2	S1	p	i	0	0		0.000
600.593	3.329	11	S2fi	1	vis	2	S2	f	i	0	0		0.000
607.041	3.330	12	S1pe	1	vis	2	S1	p	e	0	0		0.000
613.474	3.333	13	S1pa	1	vis	2	S1	p	a	0	0		0.000
619.874	2.832	14	S1fa	1	vis	2	S1	f	a	0	0		0.000
625.773	3.133	15	S3pi	1	vis	2	S3	p	i	0	0		0.000
632.024	3.333	16	S3fi	1	vis	2	S3	f	i	0	0		0.000
638.458	3.297	17	S1la	1	vis	2	S1	l	a	0	0		0.000
644.858	3.314	18	S3la	1	vis	2	S3	l	a	1	0		0.000
651.293	3.329	19	S1le	1	vis	2	S1	l	e	0	0		0.000
657.742	3.316	20	S3fe	1	vis	2	S3	f	e	0	0		0.000
664.174	3.317	21	S2le	1	vis	2	S2	l	e	0	0		0.000
670.608	3.297	22	S3li	1	vis	2	S3	l	i	0	0		0.000
677.026	3.330	23	S1fe	1	vis	2	S1	f	e	0	0		0.000
683.457	3.265	24	S2pi	1	vis	2	S2	p	i	0	0		0.000
689.824	3.315	25	S1li	1	vis	2	S1	l	i	0	0		0.000
696.242	3.333	26	S2fe	1	vis	2	S2	f	e	0	0		0.000
702.692	3.317	27	S3pe	1	vis	2	S3	p	e	0	0		0.000
709.141	3.316	28	S1fi	1	vis	2	S1	f	i	0	0		0.000
715.574	3.298	29	S2la	1	vis	2	S2	l	a	0	0		0.000
